FechaHora;Sub-Actividad;Actividad;Tiempo
7/11/2021 00:00;Dormir;Dormir;0,5
7/11/2021 00:30;Dormir;Dormir;0,5
7/11/2021 01:00;Dormir;Dormir;0,5
7/11/2021 01:30;Dormir;Dormir;0,5
7/11/2021 02:00;Dormir;Dormir;0,5
7/11/2021 02:30;Dormir;Dormir;0,5
7/11/2021 03:00;Dormir;Dormir;0,5
7/11/2021 03:30;Dormir;Dormir;0,5
7/11/2021 04:00;Dormir;Dormir;0,5
7/11/2021 04:30;Dormir;Dormir;0,5
7/11/2021 05:00;Dormir;Dormir;0,5
7/11/2021 05:30;Dormir;Dormir;0,5
7/11/2021 06:00;Dormir;Dormir;0,5
7/11/2021 06:30;Dormir;Dormir;0,5
7/11/2021 07:00;Dormir;Dormir;0,5
7/11/2021 07:30;Dormir;Dormir;0,5
7/11/2021 08:00;Dormir;Dormir;0,5
7/11/2021 08:30;Ba¤o;Ba¤o;0,5
7/11/2021 09:00;Desayuno;Comidas;0,5
7/11/2021 09:30;Desayuno;Comidas;0,5
7/11/2021 10:00;Supermercado;Compras;0,5
7/11/2021 10:30;Supermercado;Compras;0,5
7/11/2021 11:00;Viaje;Traslados;0,5
7/11/2021 11:30;Viaje;Traslados;0,5
7/11/2021 12:00;Cocinar;Comidas;0,5
7/11/2021 12:30;Cocinar;Comidas;0,5
7/11/2021 13:00;Almuerzo Familiar;Comidas;0,5
7/11/2021 13:30;Almuerzo Familiar;Comidas;0,5
7/11/2021 14:00;Almuerzo Familiar;Comidas;0,5
7/11/2021 14:30;Sobremesa;Comidas;0,5
7/11/2021 15:00;Sobremesa;Comidas;0,5
7/11/2021 15:30;Sobremesa;Comidas;0,5
7/11/2021 16:00;Viaje;Traslados;0,5
7/11/2021 16:30;Viaje;Traslados;0,5
7/11/2021 17:00;Siesta;Dormir;0,5
7/11/2021 17:30;Siesta;Dormir;0,5
7/11/2021 18:00;Merienda;Comidas;0,5
7/11/2021 18:30;Ordenar Casa;Ocio;0,5
7/11/2021 19:00;Ordenar Casa;Ocio;0,5
7/11/2021 19:30;TV-Series;Ocio;0,5
7/11/2021 20:00;TV-Series;Ocio;0,5
7/11/2021 20:30;Cocinar;Comidas;0,5
7/11/2021 21:00;Cena;Comidas;0,5
7/11/2021 21:30;Cena;Comidas;0,5
7/11/2021 22:00;TV-Series;Ocio;0,5
7/11/2021 22:30;TV-Series;Ocio;0,5
7/11/2021 23:00;Dormir;Dormir;0,5
7/11/2021 23:30;Dormir;Dormir;0,5
8/11/2021 00:00;Dormir;Dormir;0,5
8/11/2021 00:30;Dormir;Dormir;0,5
8/11/2021 01:00;Dormir;Dormir;0,5
8/11/2021 01:30;Dormir;Dormir;0,5
8/11/2021 02:00;Dormir;Dormir;0,5
8/11/2021 02:30;Dormir;Dormir;0,5
8/11/2021 03:00;Dormir;Dormir;0,5
8/11/2021 03:30;Dormir;Dormir;0,5
8/11/2021 04:00;Dormir;Dormir;0,5
8/11/2021 04:30;Dormir;Dormir;0,5
8/11/2021 05:00;Dormir;Dormir;0,5
8/11/2021 05:30;Dormir;Dormir;0,5
8/11/2021 06:00;Dormir;Dormir;0,5
8/11/2021 06:30;Desayuno;Comidas;0,5
8/11/2021 07:00;Correr;Ejercicio;0,5
8/11/2021 07:30;Correr;Ejercicio;0,5
8/11/2021 08:00;Correr;Ejercicio;0,5
8/11/2021 08:30;Ba¤o;Ba¤o;0,5
8/11/2021 09:00;Trabajo;Trabajo;0,5
8/11/2021 09:30;Trabajo;Trabajo;0,5
8/11/2021 10:00;Trabajo;Trabajo;0,5
8/11/2021 10:30;Trabajo;Trabajo;0,5
8/11/2021 11:00;Trabajo;Trabajo;0,5
8/11/2021 11:30;Trabajo;Trabajo;0,5
8/11/2021 12:00;Trabajo;Trabajo;0,5
8/11/2021 12:30;Trabajo;Trabajo;0,5
8/11/2021 13:00;Almuerzo;Comidas;0,5
8/11/2021 13:30;Almuerzo;Comidas;0,5
8/11/2021 14:00;Trabajo;Trabajo;0,5
8/11/2021 14:30;Trabajo;Trabajo;0,5
8/11/2021 15:00;Trabajo;Trabajo;0,5
8/11/2021 15:30;Trabajo;Trabajo;0,5
8/11/2021 16:00;Estudio Herramientas;Estudio;0,5
8/11/2021 16:30;Estudio Herramientas;Estudio;0,5
8/11/2021 17:00;Trabajo;Trabajo;0,5
8/11/2021 17:30;Trabajo;Trabajo;0,5
8/11/2021 18:00;Trabajo;Trabajo;0,5
8/11/2021 18:30;Trabajo;Trabajo;0,5
8/11/2021 19:00;Trabajo;Trabajo;0,5
8/11/2021 19:30;Merienda;Comidas;0,5
8/11/2021 20:00;F£tbol;Ejercicio;0,5
8/11/2021 20:30;F£tbol;Ejercicio;0,5
8/11/2021 21:00;F£tbol;Ejercicio;0,5
8/11/2021 21:30;Ba¤o;Ba¤o;0,5
8/11/2021 22:00;Cena Amigos;Comidas;0,5
8/11/2021 22:30;Cena Amigos;Comidas;0,5
8/11/2021 23:00;Cena Amigos;Comidas;0,5
8/11/2021 23:30;TV-Series;Ocio;0,5
9/11/2021 00:00;Dormir;Dormir;0,5
9/11/2021 00:30;Dormir;Dormir;0,5
9/11/2021 01:00;Dormir;Dormir;0,5
9/11/2021 01:30;Dormir;Dormir;0,5
9/11/2021 02:00;Dormir;Dormir;0,5
9/11/2021 02:30;Dormir;Dormir;0,5
9/11/2021 03:00;Dormir;Dormir;0,5
9/11/2021 03:30;Dormir;Dormir;0,5
9/11/2021 04:00;Dormir;Dormir;0,5
9/11/2021 04:30;Dormir;Dormir;0,5
9/11/2021 05:00;Dormir;Dormir;0,5
9/11/2021 05:30;Dormir;Dormir;0,5
9/11/2021 06:00;Dormir;Dormir;0,5
9/11/2021 06:30;Dormir;Dormir;0,5
9/11/2021 07:00;Dormir;Dormir;0,5
9/11/2021 07:30;Ba¤o;Ba¤o;0,5
9/11/2021 08:00;Desayuno;Comidas;0,5
9/11/2021 08:30;Trabajo;Trabajo;0,5
9/11/2021 09:00;Trabajo;Trabajo;0,5
9/11/2021 09:30;Trabajo;Trabajo;0,5
9/11/2021 10:00;Trabajo;Trabajo;0,5
9/11/2021 10:30;Trabajo;Trabajo;0,5
9/11/2021 11:00;Trabajo;Trabajo;0,5
9/11/2021 11:30;Trabajo;Trabajo;0,5
9/11/2021 12:00;Trabajo;Trabajo;0,5
9/11/2021 12:30;Trabajo;Trabajo;0,5
9/11/2021 13:00;Almuerzo;Comidas;0,5
9/11/2021 13:30;Almuerzo;Comidas;0,5
9/11/2021 14:00;Trabajo;Trabajo;0,5
9/11/2021 14:30;Trabajo;Trabajo;0,5
